sstart,ssample_end_date,selected_features
23,2014-07-01,"target, EX_ENER_BP_new, TSX_HI_lag1, TSX_LO_lag1, EX_METAL_BP_new, G_AVG_3.5.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, IPPI_MACH_CAN_lag1"
24,2014-08-01,"target, EX_ENER_BP_new, TSX_HI_lag1, TSX_LO_lag1, IPPI_MACH_CAN_lag1, EX_METAL_BP_new, TBILL_6M.Bank_rate_lag1, G_AVG_3.5.Bank_rate_lag2"
25,2014-09-01,"target, EX_ENER_BP_new, TSX_HI_lag1, TSX_LO_lag1, TBILL_6M.Bank_rate_lag1, G_AVG_3.5.Bank_rate_lag2, IPPI_MACH_CAN_lag1, IPPI_ENER_CAN"
26,2014-10-01,"target, EX_ENER_BP_new, TSX_HI_lag1, TBILL_6M.Bank_rate_lag1, IPPI_MACH_CAN_lag1, TSX_LO_lag1, EX_METAL_BP_new, IPPI_ENER_CAN"
27,2014-11-01,"target, EX_ENER_BP_new, TSX_HI_lag1, TBILL_6M.Bank_rate_lag1, G_AVG_3.5.Bank_rate_lag2, IPPI_MACH_CAN_lag1, EX_TRANSP_BP_new_lag2, CAN_EQTY_NETFLOW_lag1"
28,2014-12-01,"target, EX_ENER_BP_new, TBILL_6M.Bank_rate_lag1, TSX_HI_lag1, G_AVG_3.5.Bank_rate_lag2, CAN_EQTY_NETFLOW_lag1, IPPI_ENER_CAN, TBILL_6M.Bank_rate"
29,2015-01-01,"target, EX_ENER_BP_new, CAN_EQTY_NETFLOW_lag1, G_AVG_3.5.Bank_rate_lag2, TSX_HI_lag1, EX_METAL_BP_new, TBILL_6M.Bank_rate_lag1, G_AVG_5.10.Bank_rate_lag2"
30,2015-02-01,"target, EX_ENER_BP_new, CAN_EQTY_NETFLOW_lag1, EX_METAL_BP_new, CAN_US_SEC_NETFLOW_lag1, TSX_HI_lag1, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate_lag1"
31,2015-03-01,"target, EX_ENER_BP_new, CAN_EQTY_NETFLOW_lag1, CAN_US_SEC_NETFLOW_lag1, IPPI_MACH_CAN_lag1, EX_TRANSP_BP_new_lag2, TBILL_6M.Bank_rate_lag1, IPPI_MACH_CAN_lag2"
32,2015-04-01,"target, EX_ENER_BP_new, CAN_US_SEC_NETFLOW_lag1, CAN_EQTY_NETFLOW_lag1, IPPI_MACH_CAN_lag1, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate_lag1, TSX_HI_lag1"
33,2015-05-01,"target, EX_ENER_BP_new, CAN_EQTY_NETFLOW_lag1, TBILL_6M.Bank_rate_lag1, CAN_US_SEC_NETFLOW_lag1, IPPI_MACH_CAN_lag1, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate"
34,2015-06-01,"target, TBILL_6M.Bank_rate_lag1, IPPI_MACH_CAN_lag2, IPPI_MACH_CAN_lag1, EX_ENER_BP_new, TBILL_6M.Bank_rate, CAN_EQTY_NETFLOW_lag1, TSX_HI_lag1"
35,2015-07-01,"target, CAN_EQTY_NETFLOW_lag1, CAN_US_SEC_NETFLOW_lag1, TBILL_6M.Bank_rate_lag1, IPPI_MACH_CAN_lag1, EX_ENER_BP_new, TBILL_6M.Bank_rate, IPPI_MACH_CAN_lag2"
36,2015-08-01,"target, CAN_US_SEC_NETFLOW_lag1, CAN_EQTY_NETFLOW_lag1, TBILL_6M.Bank_rate_lag1, IPPI_MACH_CAN_lag1, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate, TSX_HI_lag1"
37,2015-09-01,"target, IPPI_MACH_CAN_lag2, IPPI_MACH_CAN_lag1, CAN_US_SEC_NETFLOW_lag1, CAN_EQTY_NETFLOW_lag1, WTISPLC, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag3"
38,2015-10-01,"target, IPPI_MACH_CAN_lag2, CAN_US_SEC_NETFLOW_lag1, CAN_EQTY_NETFLOW_lag1, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag1, WTISPLC"
39,2015-11-01,"target, IPPI_MACH_CAN_lag2, IPPI_MACH_CAN_lag1, CAN_EQTY_NETFLOW_lag1, CAN_US_SEC_NETFLOW_lag1, WTISPLC, TBILL_6M.Bank_rate, IPPI_ENER_CAN"
40,2015-12-01,"target, IPPI_MACH_CAN_lag2, IPPI_MACH_CAN_lag1, WTISPLC, CAN_EQTY_NETFLOW_lag1, CAN_US_SEC_NETFLOW_lag1, IPPI_MOTOR_CAN_lag2, IPPI_ENER_CAN"
41,2016-01-01,"target, IPPI_MACH_CAN_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate, WTISPLC, CAN_EQTY_NETFLOW_lag1, CAN_US_SEC_NETFLOW_lag1, IPPI_ENER_CAN"
42,2016-02-01,"target, IPPI_MACH_CAN_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag1, CAN_EQTY_NETFLOW_lag1, WTISPLC, CAN_US_SEC_NETFLOW_lag1"
43,2016-03-01,"target, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag1, IPPI_MACH_CAN_lag1, TBILL_6M, CAN_US_SEC_NETFLOW_lag1, TBILL_6M.Bank_rate_lag2"
44,2016-04-01,"target, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag1, TBILL_6M.Bank_rate_lag2, IPPI_MACH_CAN_lag1, TBILL_6M, TBILL_6M.Bank_rate_lag3"
45,2016-05-01,"target, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag1, TBILL_6M, IPPI_MACH_CAN_lag1, TBILL_6M_lag1, CAN_US_SEC_NETFLOW_lag1"
46,2016-06-01,"target, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag1, TBILL_6M, TBILL_6M_lag1, IPPI_MACH_CAN_lag1, TSX_HI_lag1"
47,2016-07-01,"target, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag1, TBILL_6M, TBILL_6M_lag1, CAN_US_SEC_NETFLOW_lag1, TSX_HI_lag1"
48,2016-08-01,"target, IPPI_MACH_CAN_lag2, TBILL_6M.Bank_rate_lag1, TBILL_6M.Bank_rate, IPPI_MOTOR_CAN_lag2, TBILL_6M, WTISPLC_lag1, TBILL_6M.Bank_rate_lag2"
49,2016-09-01,"target, IPPI_MACH_CAN_lag2, IPPI_MOTOR_CAN_lag2, USDCAD_new_lag2, TBILL_6M.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, WTISPLC_lag1, BANK_RATE_L"
50,2016-10-01,"target, IPPI_MACH_CAN_lag2, IPPI_MOTOR_CAN_lag2, USDCAD_new_lag2, TBILL_6M.Bank_rate, WTISPLC_lag1, EMP_CAN, TBILL_6M.Bank_rate_lag2"
51,2016-11-01,"target, IPPI_MACH_CAN_lag2, IPPI_MOTOR_CAN_lag2, USDCAD_new_lag2, WTISPLC_lag1, EMP_FOR_OIL_CAN, TBILL_6M.Bank_rate, EX_ENER_BP_new"
