sstart,ssample_end_date,selected_features
73,2018-09-01,"target, IMP_TRANSP_BP_new_lag3, Small.business_lag3, GOV_AVG_5_10Y_lag1, GOV_AVG_10pY_lag1, EMP_SERV_CAN_lag2, GOV_AVG_3_5Y_lag1, G_AVG_1.3.Bank_rate_lag1"
74,2018-10-01,"target, GOV_AVG_5_10Y_lag1, Small.business_lag3, IMP_TRANSP_BP_new_lag3, GOV_AVG_10pY_lag1, EMP_SERV_CAN_lag2, G_AVG_1.3.Bank_rate_lag1, GOV_AVG_3_5Y_lag1"
75,2018-11-01,"target, Small.business_lag3, EMP_SERV_CAN_lag2, EMP_CAN_lag2, GOV_AVG_5_10Y_lag1, IMP_TRANSP_BP_new_lag3, EOIL_BP_new_lag2, GOV_AVG_10pY_lag1"
76,2018-12-01,"target, Small.business_lag3, EMP_SERV_CAN_lag2, EMP_CAN_lag2, GOV_AVG_5_10Y_lag1, IMP_TRANSP_BP_new_lag3, EOIL_BP_new_lag2, GOV_AVG_10pY_lag1"
77,2019-01-01,"target, Small.business_lag3, EOIL_BP_new_lag2, EMP_SERV_CAN_lag2, IMP_TRANSP_BP_new_lag3, EMP_CAN_lag2, WTISPLC_lag2, EX_TRANSP_BP_new_lag3"
78,2019-02-01,"target, Small.business_lag3, EMP_SERV_CAN_lag2, EOIL_BP_new_lag2, EMP_CAN_lag2, IMP_TRANSP_BP_new_lag3, G_AVG_1.3.Bank_rate_lag1, WTISPLC_lag2"
79,2019-03-01,"target, Small.business_lag3, EMP_SERV_CAN_lag2, EOIL_BP_new_lag2, EMP_CAN_lag2, G_AVG_1.3.Bank_rate_lag1, IMP_TRANSP_BP_new_lag3, WTISPLC_lag2"
80,2019-04-01,"target, G_AVG_1.3.Bank_rate_lag1, EMP_SERV_CAN_lag2, Small.business_lag3, EOIL_BP_new_lag2, EMP_CAN_lag2, GOV_AVG_5_10Y_lag1, WTISPLC_lag2"
81,2019-05-01,"target, G_AVG_1.3.Bank_rate_lag1, EMP_SERV_CAN_lag2, Small.business_lag3, IPPI_CAN, EOIL_BP_new_lag2, GOV_AVG_5_10Y_lag1, Electricity_lag3"
82,2019-06-01,"target, GOV_AVG_5_10Y_lag1, GOV_AVG_10pY_lag1, EMP_SERV_CAN_lag2, GOV_AVG_3_5Y_lag1, G_AVG_1.3.Bank_rate_lag1, IPPI_CAN, IMP_TRANSP_BP_new_lag3"
83,2019-07-01,"target, EMP_SERV_CAN_lag2, GOV_AVG_5_10Y_lag1, GOV_AVG_3_5Y_lag1, IPPI_CAN, G_AVG_1.3.Bank_rate_lag1, GOV_AVG_10pY_lag1, WTISPLC_lag2"
84,2019-08-01,"target, EMP_SERV_CAN_lag2, GOV_AVG_5_10Y_lag1, GOV_AVG_3_5Y_lag1, IPPI_CAN, G_AVG_1.3.Bank_rate_lag1, GOV_AVG_10pY_lag1, WTISPLC_lag2"
85,2019-09-01,"target, EMP_SERV_CAN_lag2, GOV_AVG_3_5Y_lag1, GOV_AVG_5_10Y_lag1, EMP_SALES_CAN_lag2, IPPI_CAN, EMP_CAN_lag2, G_AVG_1.3.Bank_rate_lag1"
86,2019-10-01,"target, EMP_SERV_CAN_lag2, Electricity_lag3, EMP_CAN_lag2, IPPI_CAN, GOV_AVG_3_5Y_lag1, IMP_TRANSP_BP_new_lag3, G_AVG_1.3.Bank_rate_lag1"
87,2019-11-01,"target, EMP_SERV_CAN_lag2, Electricity_lag3, IMP_TRANSP_BP_new_lag3, EMP_CAN_lag2, IPPI_CAN, GOV_AVG_3_5Y_lag1, G_AVG_1.3.Bank_rate_lag1"
88,2019-12-01,"target, EMP_SERV_CAN_lag2, Electricity_lag3, IMP_TRANSP_BP_new_lag3, EOIL_BP_new, IPPI_CAN, WTISPLC_lag1, WTISPLC_lag2"
89,2020-01-01,"target, EMP_SERV_CAN_lag2, Electricity_lag3, WTISPLC_lag2, IPPI_CAN, EOIL_BP_new, EOIL_BP_new_lag2, WTISPLC_lag1"
90,2020-02-01,"target, EMP_SERV_CAN_lag2, Electricity_lag3, IPPI_CAN, WTISPLC_lag2, EOIL_BP_new, EOIL_BP_new_lag2, EOIL_BP_new_lag1"
91,2020-03-01,"target, EMP_SERV_CAN_lag2, Electricity_lag3, WTISPLC_lag2, EOIL_BP_new, IPPI_CAN, EOIL_BP_new_lag1, EX_ENER_BP_new"
92,2020-04-01,"target, EMP_SERV_CAN_lag2, Electricity_lag3, WTISPLC_lag2, EOIL_BP_new, EOIL_BP_new_lag1, EX_ENER_BP_new, IPPI_CAN"
93,2020-05-01,"target, EMP_SERV_CAN_lag2, EOIL_BP_new, WTISPLC_lag2, EX_ENER_BP_new, Electricity_lag3, IPPI_CAN, EOIL_BP_new_lag1"
94,2020-06-01,"target, EMP_SERV_CAN_lag2, EOIL_BP_new, EX_ENER_BP_new, IPPI_CAN, EOIL_BP_new_lag1, Electricity_lag3, WTISPLC_lag2"
95,2020-07-01,"target, EOIL_BP_new_lag1, EMP_SERV_CAN_lag2, WTISPLC_lag2, IPPI_CAN, EOIL_BP_new_lag2, EOIL_BP_new, Small.business_lag3"
96,2020-08-01,"target, EOIL_BP_new_lag1, IPPI_CAN, EOIL_BP_new, EX_ENER_BP_new, EMP_SERV_CAN_lag2, IPPI_ENER_CAN, Small.business_lag3"
97,2020-09-01,"target, EOIL_BP_new_lag1, IPPI_CAN, EOIL_BP_new, IPPI_ENER_CAN, EX_ENER_BP_new, EX_ENER_BP_new_lag1, WTISPLC_lag1"
98,2020-10-01,"target, IPPI_CAN, EOIL_BP_new_lag1, EOIL_BP_new, IPPI_ENER_CAN, EX_ENER_BP_new, WTISPLC_lag1, EX_ENER_BP_new_lag1"
99,2020-11-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EOIL_BP_new, EX_ENER_BP_new_lag1, EX_ENER_BP_new, EMP_SERV_CAN_lag2"
100,2020-12-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EOIL_BP_new, EX_ENER_BP_new, EX_ENER_BP_new_lag1, WTISPLC_lag1"
101,2021-01-01,"target, EOIL_BP_new_lag1, IPPI_CAN, IPPI_ENER_CAN, EX_ENER_BP_new_lag1, WTISPLC_lag1, EX_ENER_BP_new, EOIL_BP_new"
102,2021-02-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EX_ENER_BP_new_lag1, WTISPLC_lag1, EX_ENER_BP_new, EOIL_BP_new"
103,2021-03-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EX_ENER_BP_new_lag1, EX_ENER_BP_new, WTISPLC_lag1, EOIL_BP_new"
104,2021-04-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EX_ENER_BP_new_lag1, EX_ENER_BP_new, EOIL_BP_new, WTISPLC_lag2"
105,2021-05-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EOIL_BP_new, EX_ENER_BP_new, EX_ENER_BP_new_lag1, WTISPLC_lag1"
106,2021-06-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EOIL_BP_new, EX_ENER_BP_new_lag1, EX_ENER_BP_new, CRED_BUS_cb_lag1"
107,2021-07-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EX_ENER_BP_new_lag1, CRED_BUS_cb_lag1, WTISPLC_lag2, EOIL_BP_new_lag2"
108,2021-08-01,"target, IPPI_CAN, EOIL_BP_new_lag1, IPPI_ENER_CAN, EX_ENER_BP_new_lag1, Electricity_lag3, EX_ENER_BP_new, EOIL_BP_new"
