sstart,ssample_end_date,selected_features
71,2018-07-01,"target, Finance...30_lag2, Finance...11_lag2, UNEMP_CAN_lag3, build_Total_CAN_new_lag2, GOV_AVG_3_5Y_lag3, GOV_AVG_1_3Y_lag3, CPI_SERV_CAN_lag1"
72,2018-08-01,"target, Finance...11_lag2, Finance...30_lag2, UNEMP_CAN_lag3, build_Total_CAN_new_lag2, GOV_AVG_3_5Y_lag3, GOV_AVG_1_3Y_lag3, build_Ind_CAN_new_lag2"
73,2018-09-01,"target, Finance...11_lag2, Finance...30_lag2, UNEMP_CAN_lag3, build_Total_CAN_new_lag2, GOV_AVG_3_5Y_lag3, BANK_RATE_L_lag2, GOV_AVG_1_3Y_lag3"
74,2018-10-01,"target, Finance...30_lag2, Finance...11_lag2, build_Total_CAN_new_lag2, GOV_AVG_3_5Y_lag3, UNEMP_CAN_lag3, GOV_AVG_1_3Y_lag3, BANK_RATE_L_lag2"
75,2018-11-01,"target, GOV_AVG_3_5Y_lag3, Finance...11_lag2, Finance...30_lag2, build_Total_CAN_new_lag2, GOV_AVG_1_3Y_lag3, BANK_RATE_L_lag2, build_Ind_CAN_new_lag2"
76,2018-12-01,"target, GOV_AVG_3_5Y_lag3, Finance...30_lag2, Finance...11_lag2, GOV_AVG_1_3Y_lag3, build_Total_CAN_new_lag2, build_Ind_CAN_new_lag2, BANK_RATE_L_lag2"
77,2019-01-01,"target, Volvo_lag3, GOV_AVG_3_5Y_lag3, GOV_AVG_1_3Y_lag3, BANK_RATE_L_lag2, build_Ind_CAN_new_lag2, Finance...11_lag2, Finance...30_lag2"
78,2019-02-01,"target, Volvo_lag3, BANK_RATE_L_lag2, EMP_FIN_CAN_lag3, Mining_lag2, build_Ind_CAN_new_lag2, GOV_AVG_3_5Y_lag3, GOV_AVG_1_3Y_lag3"
79,2019-03-01,"target, Volvo_lag3, BANK_RATE_L_lag2, build_Ind_CAN_new_lag2, GOV_AVG_3_5Y_lag3, N_DUR_INV_RAT_new_lag3, Mining_lag2, EMP_FIN_CAN_lag3"
80,2019-04-01,"target, BANK_RATE_L_lag2, GOV_AVG_3_5Y_lag3, Volvo_lag3, build_Ind_CAN_new_lag2, Mining_lag2, EMP_FIN_CAN_lag3, N_DUR_INV_RAT_new_lag3"
81,2019-05-01,"target, build_Ind_CAN_new_lag2, BANK_RATE_L_lag2, GOV_AVG_3_5Y_lag3, trade_lag1, EMP_FIN_CAN_lag3, Volvo_lag3, GOV_AVG_1_3Y_lag3"
82,2019-06-01,"target, BANK_RATE_L_lag2, Finance...30_lag2, Finance...11_lag2, trade_lag1, Mining_lag2, build_Ind_CAN_new_lag2, IMP_METAL_BP_new_lag3"
83,2019-07-01,"target, BANK_RATE_L_lag2, EX_MINER_BP_new_lag3, Mining_lag2, build_Ind_CAN_new_lag2, TOT_HRS_CAN_lag2, Volvo_lag3, Finance...11_lag2"
84,2019-08-01,"target, BANK_RATE_L_lag2, Finance...30_lag2, Finance...11_lag2, Mining_lag2, TBILL_6M.Bank_rate_lag3, hstart_CAN_new, EMP_FIN_CAN_lag3"
