sstart,ssample_end_date,selected_features
71,2018-07-01,"target, UNEMP_DURA_27._CAN_lag3, IOIL_BP_new_lag2, CPI_HEA_CAN_lag1, CAN_EQTY_NETFLOW_lag2, GOV_AVG_3_5Y, EX_MINER_BP_new_lag1, UNEMP_CAN"
72,2018-08-01,"target, IOIL_BP_new_lag2, CAN_EQTY_NETFLOW_lag2, UNEMP_CAN, GOV_AVG_3_5Y, UNEMP_DURA_27._CAN_lag3, GOV_AVG_1_3Y, EX_MINER_BP_new_lag1"
73,2018-09-01,"target, IOIL_BP_new_lag2, CAN_EQTY_NETFLOW_lag2, UNEMP_CAN, CPI_HEA_CAN_lag1, UNEMP_DURA_27._CAN_lag3, GOV_AVG_3_5Y, GOV_AVG_1_3Y"
74,2018-10-01,"target, IOIL_BP_new_lag2, CAN_EQTY_NETFLOW_lag2, EX_MINER_BP_new_lag1, IMP_METAL_BP_new_lag3, UNEMP_CAN_lag1, UNEMP_CAN, GOV_AVG_3_5Y"
75,2018-11-01,"target, IOIL_BP_new_lag2, CAN_EQTY_NETFLOW_lag2, EMP_SERV_CAN_lag2, EX_MINER_BP_new_lag1, IMP_METAL_BP_new_lag3, UNEMP_CAN_lag1, EMP_CAN_lag2"
76,2018-12-01,"target, IOIL_BP_new_lag2, CAN_EQTY_NETFLOW_lag2, EX_MINER_BP_new_lag1, IMP_METAL_BP_new_lag3, EMP_SERV_CAN_lag2, EMP_SALES_CAN_lag1, UNEMP_CAN_lag1"
77,2019-01-01,"target, IOIL_BP_new_lag2, CAN_EQTY_NETFLOW_lag2, EX_MINER_BP_new_lag1, IMP_METAL_BP_new_lag3, EMP_SERV_CAN_lag2, EMP_SALES_CAN_lag1, EMP_CAN_lag2"
78,2019-02-01,"target, IOIL_BP_new_lag2, CAN_EQTY_NETFLOW_lag2, GOV_AVG_3_5Y, EMP_SALES_CAN_lag1, EMP_CAN_lag2, GOV_AVG_1_3Y, UNEMP_DURA_27._CAN_lag3"
79,2019-03-01,"target, IOIL_BP_new_lag2, CAN_EQTY_NETFLOW_lag2, GOV_AVG_3_5Y, EMP_SALES_CAN_lag1, CRED_T_cb_lag3, IMP_METAL_BP_new, EOIL_BP_new_lag2"
80,2019-04-01,"target, IOIL_BP_new_lag2, CRED_T_cb_lag3, CAN_EQTY_NETFLOW_lag2, EOIL_BP_new_lag2, EMP_FIN_CAN, EX_MINER_BP_new_lag1, IMP_METAL_BP_new"
81,2019-05-01,"target, CRED_T_cb_lag3, IOIL_BP_new_lag2, TBILL_6M.Bank_rate_lag2, EMP_FIN_CAN, TBILL_6M.Bank_rate, build_Total_CAN_new_lag1, Imp_BP_new_lag3"
82,2019-06-01,"target, IOIL_BP_new_lag2, TBILL_6M.Bank_rate_lag2, CRED_T_cb_lag3, Imp_BP_new_lag3, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag1, EMP_FIN_CAN"
83,2019-07-01,"target, IOIL_BP_new_lag2, CRED_T_cb_lag3, TBILL_6M.Bank_rate_lag2, Imp_BP_new_lag3, EMP_FIN_CAN, MORTG_5Y_lag3, TBILL_6M.Bank_rate"
84,2019-08-01,"target, IOIL_BP_new_lag2, CRED_T_cb_lag3, TBILL_6M.Bank_rate_lag2, MORTG_5Y_lag3, Imp_BP_new_lag3, EMP_FIN_CAN, TBILL_6M.Bank_rate_lag1"
85,2019-09-01,"target, CRED_T_cb_lag3, Imp_BP_new_lag3, IOIL_BP_new_lag2, build_Total_CAN_new_lag1, IMP_METAL_BP_new_lag3, TBILL_6M.Bank_rate_lag2, MORTG_5Y_lag3"
86,2019-10-01,"target, CRED_T_cb_lag3, Imp_BP_new_lag3, build_Total_CAN_new_lag1, IOIL_BP_new_lag2, TBILL_6M.Bank_rate_lag2, IMP_METAL_BP_new_lag3, MORTG_5Y_lag3"
87,2019-11-01,"target, CRED_T_cb_lag3, IMP_METAL_BP_new_lag3, build_Total_CAN_new_lag1, Imp_BP_new_lag3, MORTG_5Y_lag3, CAN_EQTY_NETFLOW_lag2, IOIL_BP_new_lag2"
88,2019-12-01,"target, CRED_T_cb_lag3, Imp_BP_new_lag3, IMP_METAL_BP_new_lag3, EX_TRANSP_BP_new_lag3, TBILL_6M.Bank_rate_lag2, IOIL_BP_new_lag2, build_Ind_CAN_new_lag2"
89,2020-01-01,"target, CRED_T_cb_lag3, IMP_METAL_BP_new_lag3, Imp_BP_new_lag3, IOIL_BP_new_lag2, EX_TRANSP_BP_new_lag3, MORTG_5Y_lag3, build_Ind_CAN_new_lag2"
90,2020-02-01,"target, Imp_BP_new_lag3, EX_TRANSP_BP_new_lag3, TBILL_6M.Bank_rate_lag2, EX_MINER_BP_new, CRED_T_cb_lag3, IMP_METAL_BP_new, CAN_EQTY_NETFLOW_lag2"
91,2020-03-01,"target, EX_MINER_BP_new, Imp_BP_new_lag3, TBILL_6M.Bank_rate_lag2, CAN_EQTY_NETFLOW_lag2, EX_TRANSP_BP_new_lag3, MORTG_5Y_lag3, UNEMP_CAN_lag1"
92,2020-04-01,"target, EX_MINER_BP_new, TBILL_6M.Bank_rate_lag2, Imp_BP_new_lag3, EX_METAL_BP_new_lag2, EX_TRANSP_BP_new_lag3, CAN_EQTY_NETFLOW_lag2, MORTG_5Y_lag3"
93,2020-05-01,"target, EX_MINER_BP_new, EX_METAL_BP_new_lag2, Imp_BP_new_lag3, MORTG_5Y_lag3, EMP_FIN_CAN, CAN_EQTY_NETFLOW_lag2, TBILL_6M.Bank_rate_lag2"
